"","del","si1","si2","alpha","dim"
"1",0,1,1,0.05,271
"2",0.05,1,1,0.05,371
"3",0.1,1,1,0.05,704
"4",0.15,1,1,0.05,1044
"5",0.2,1,1,0.05,1212
"6",0.25,1,1,0.05,1229
"7",0.3,1,1,0.05,1230
"8",0.35,1,1,0.05,1230
"9",0.4,1,1,0.05,1230
"10",0.45,1,1,0.05,1230
"11",0.5,1,1,0.05,1230
"12",0.55,1,1,0.05,1230
"13",0.6,1,1,0.05,1230
"14",0.65,1,1,0.05,1230
"15",0.7,1,1,0.05,1230
"16",0.75,1,1,0.05,1230
"17",0.8,1,1,0.05,1230
"18",0.85,1,1,0.05,1230
"19",0.9,1,1,0.05,1230
"20",0.95,1,1,0.05,1230
"21",1,1,1,0.05,1230
"22",0,1.5,1,0.05,1230
"23",0.05,1.5,1,0.05,1230
"24",0.1,1.5,1,0.05,1230
"25",0.15,1.5,1,0.05,1230
"26",0.2,1.5,1,0.05,1230
"27",0.25,1.5,1,0.05,1230
"28",0.3,1.5,1,0.05,1230
"29",0.35,1.5,1,0.05,1230
"30",0.4,1.5,1,0.05,1230
"31",0.45,1.5,1,0.05,1230
"32",0.5,1.5,1,0.05,1230
"33",0.55,1.5,1,0.05,1230
"34",0.6,1.5,1,0.05,1230
"35",0.65,1.5,1,0.05,1230
"36",0.7,1.5,1,0.05,1230
"37",0.75,1.5,1,0.05,1230
"38",0.8,1.5,1,0.05,1230
"39",0.85,1.5,1,0.05,1230
"40",0.9,1.5,1,0.05,1230
"41",0.95,1.5,1,0.05,1230
"42",1,1.5,1,0.05,1230
"43",0,2,1,0.05,1230
"44",0.05,2,1,0.05,1230
"45",0.1,2,1,0.05,1230
"46",0.15,2,1,0.05,1230
"47",0.2,2,1,0.05,1230
"48",0.25,2,1,0.05,1230
"49",0.3,2,1,0.05,1230
"50",0.35,2,1,0.05,1230
"51",0.4,2,1,0.05,1230
"52",0.45,2,1,0.05,1230
"53",0.5,2,1,0.05,1230
"54",0.55,2,1,0.05,1230
"55",0.6,2,1,0.05,1230
"56",0.65,2,1,0.05,1230
"57",0.7,2,1,0.05,1230
"58",0.75,2,1,0.05,1230
"59",0.8,2,1,0.05,1230
"60",0.85,2,1,0.05,1230
"61",0.9,2,1,0.05,1230
"62",0.95,2,1,0.05,1230
"63",1,2,1,0.05,1230
"64",0,1,1.5,0.05,1230
"65",0.05,1,1.5,0.05,1230
"66",0.1,1,1.5,0.05,1230
"67",0.15,1,1.5,0.05,1230
"68",0.2,1,1.5,0.05,1230
"69",0.25,1,1.5,0.05,1230
"70",0.3,1,1.5,0.05,1230
"71",0.35,1,1.5,0.05,1230
"72",0.4,1,1.5,0.05,1230
"73",0.45,1,1.5,0.05,1230
"74",0.5,1,1.5,0.05,1230
"75",0.55,1,1.5,0.05,1230
"76",0.6,1,1.5,0.05,1230
"77",0.65,1,1.5,0.05,1230
"78",0.7,1,1.5,0.05,1230
"79",0.75,1,1.5,0.05,1230
"80",0.8,1,1.5,0.05,1230
"81",0.85,1,1.5,0.05,1230
"82",0.9,1,1.5,0.05,1230
"83",0.95,1,1.5,0.05,1230
"84",1,1,1.5,0.05,1230
"85",0,1.5,1.5,0.05,271
"86",0.05,1.5,1.5,0.05,317
"87",0.1,1.5,1.5,0.05,457
"88",0.15,1.5,1.5,0.05,704
